,statute_code,charge_descriptions,charge_class,charge_label,Reason
18,CR.3.403,"['ARMED ROBBERY' 'Armed Robbery' 'Attempted Armed Robbery'
 'Att-Armed Robbery' 'Robbery with Dangerous and Deadly Weapon'
 'Armed Robbery W/Dangerous and Deadly Weapon' 'ATT-ARMED ROBBERY'
 'ATTEMPTED Armed Robbery' 'Attempted Robbery with a Deadly Weapon'
 'ATTEMPTED ARMED ROBBERY' 'Atempted - Armed Robbery'
 'ARMED ROBBERY; CJIS#: 20705']",['Felony Circuit Court' nan 'Misdemeanor'],10M,
64,CR.5.620.(a)(2),"['CDS PACKAG MATERIAL:POSS/DISTR' 'CDS ADMIN EQUIP POSS/DIST'
 'CDS PACK MATERL POSS/DISTR' 'CDS ADMINIS EQUIP:POSS/DISTRIB'
 'Cds: Possess/Distribute To - Administer Equipment'
 'MARIJUANA PARA POSS/DIS' 'MARIHUANA PACKING POSS/DIS'
 'CDS: Possess/Distribute To - Administer Equipment'
 'Cds: Possess/Distribute To - Administer Equipment-HYP.SYRINGES'
 'CDS Possess Packaging Materials Manufacture, Distribution'
 'Cds Possess Packaging Materials Manufacture, Distribution'
 'CDS ADMIN EQUIP POSS/DIST FENTANYL']",[nan 'Misdemeanor'],10M,
72,CR.5.601.(a)(2)(vi),['CDS OBTN BY MAKE FRGE PRES'],[nan 'Misdemeanor'],10M,
82,CR 5 601 (a)(1),"['CDS: POSS MARIJUANA 10 GM+' 'CDS: Poss marijuana 10 Gm+'
 'CDS: Possession of more than 10 Grams of Marijuana'
 'CDS: Poss Marijuana 10 Gm+' 'CDS: Poss marijuana 10 Gm+ (Marijuana)'
 'CDS: Poss Marijuana 10 Grams +']",['Misdemeanor'],10M,
94,CR.5.601.(c)(1),"['Cds:Possess-Not Marihuana' 'CDS:POSSESS-NOT MARIHUANA'
 'Cds:Possess-Crack Cocaine' 'Cds:Possess-Crack/Cocaine'
 'Cds:Possess-Not Marihuana(cocaine)'
 'Cds:Possess-Not Marihuana (crack cocaine)'
 'Cds:Possess-Not Marihuana-COCAINE' 'Cds:Possession Crack/Cocaine'
 'Cds:Possession Cocaine' 'Cds:Possess-Not Marihuana-CRACK COCAINE'
 'Cds:Possess-Not Marihuana (cocaine)' 'Cds:Possess-Cocaine'
 'Cds:Possess-Heroin' 'Cds:Possess-Cocaine HCL'
 'Cds:Possess-Not Marihuana-HEROIN' 'Cds:Possess-Powder Cocaine'
 'Cds:Possess-Not Marihuana- OXYCONTIN'
 'Cds:Possess-Not Marihuana COCAINE' 'Cds:Possession - Crack/Cocaine'
 'Cds:Possess-Not Marihuana (oxycotin)'
 'Cds:Possess-Not Marihuana (Cocaine)']",['Misdemeanor'],10M,
100,CR.10.201.(c)(4),"['DISTURB PEACE' 'DISTURB THE PEACE' 'DISTURB THE PEACE/DISORDERLY'
 'Disturb The Peace' 'Disturb The Peace/Disorderly']",[nan 'Misdemeanor'],10M,
102,CR.6.205.(a)(b),"['Burglary-Fourth Degree' 'BURGLARY-FOURTH DEGREE'
 'Burglary-Fourth Degree (Violation of Probation)']",['Misdemeanor'],10M,
111,CR.3.306,"['Sex Offense Second Degree' 'SEX OFFENSE SECOND DEGREE'
 'SEX OFENSE-2ND D: FORCE' 'ATT-SEX OFFENSE SECOND DEGREE']",['Felony Circuit Court' nan],10M,
124,CR.5.601.(c)(2),"['Cds: Possession-Marihuana' 'CDS: POSSESSION-MARIHUANA'
 'Cds: Possession-Marihuana/THC' 'Cds:Possession-Marijuana'
 'Cds: Possession - Marihuana']",['Misdemeanor'],10M,
128,CR.5.601.(a)(2)(ii),"['CDS OBTN BY ALTER PRESCRIP'
 'Cds Counterfeiting or Alteration of Prescription']",[nan 'Misdemeanor'],10M,
169,27 -287 - - -,"['CDS:POSSESSION (CJIS 1 0573)' 'CDS:POSSESSION CJIS Code: 4 3550'
 'CDS:POSSESSION (CJIS 4 3550)' 'CDS:POSSESSION CJIS Code: 1 0573'
 'CDS OBTN BY CONCEAL FLS ID (CJIS 1 0250)'
 'POSS OF A CTL DANGEROUS SUBSTANCE']",['Misdemeanor' 'Converted Degree'],10M,
181,CR.3.805,['ELEC MAIL HARASS' 'Electronic Mail Harass'],[nan 'Misdemeanor'],10M,
221,CR.5.601.(a)(2)(v),['CDS:OBTAIN BY PERSONATION' 'CDS: OBTAIN BY PERSONATION'],['Misdemeanor' nan],10M,
246,4-3550,['CDS:POSSESS-NOT MARIHUANA'],['Misdemeanor'],10M,
259,CR.5.619.(c)(2)(II),"['CDS:POSS PARAPHERNALIA' 'CDS:POSS PARAPHERNALIA/ SUB OF'
 'CDS:POSS PARAPHERNALIA/ SUB OFF'
 'Cds:Possess Paraphernalia/Subsequent Offender']",['Misdemeanor' nan],10M,
326,CR.12.102.(a)(1)(2),['BET/WAGER/GAMBLE' 'GAMBLING-SPORT EVENT' 'GAMBLING'],['Misdemeanor' nan],10M,
409,CR.12.104.(a)(2),['GAMING-BLDG OWNER/OCCUPANT'],['Misdemeanor' nan],10M,
489,CR.3.805(b)(1),['ELEC COMM HARASS'],['Misdemeanor'],10M,
499,CR.6.303.(c)(3),['ELECTR CO:TAMPER W/METER'],['Misdemeanor' nan],10M,
551,CR.6.303.(c)(1),['ELEC CO TMPR W/POLES LINES' 'ELEC CO TMPR W /EQUIP/FAC'],[nan 'Misdemeanor'],10M,
556,CR.5.601,"['CDS:ADMIN - NOT MARIJUANA' 'CDS:ADMIN - NOT MARIHUANA'
 'Cds:Administer - Not Marihuana' 'Marijuana Violation'
 'Possession-crack/cocaine' 'CDS: ADMINISTER MARIHUANA'
 'CDS: Possession of Cocaine' 'CDS: ADMIN - NOT MARIJUANA'
 'CDS POSSESION: Marijuana Less Than 10 grams'
 'Marijuana Violation / LESS THAN 10 GRAMS' 'POSS MARIJUANA <10G']",[nan 'Misdemeanor' 'Other'],10M,
601,CR.9.201.(b),['BRIBE/ATT PUBLIC EMPLOYEE'],[nan 'Misdemeanor'],10M,
608,CR.10.404.(a)(1),['DESTROY FUNERARY OBJECT'],[nan 'Misdemeanor'],10M,
672,CR.6.303.(c)(2),['ELEC CO TAMPER W/CONDUCTOR'],[nan 'Misdemeanor'],10M,
677,CR.6.307.(a)(1),['SELL/POSSESS STOLEN MANF NO'],[nan 'Misdemeanor'],10M,
805,CR.12.102.(3),['GAMBL-KEEP/USE/PERMIT PLAC'],[nan 'Misdemeanor'],10M,
856,27.290,"['CDS ATTEMPT,CONSPIRACY' 'Attempt/Conspiracy To Commit Cds Violation'
 'CDS ATTEMPT, CONSPIRACY' 'Conspiracy To distribute Marihuana']",[nan 'Misdemeanor'],10M,
866,CR.6.109,['ATTEMPT TO BURN PROP' 'Attempt To Burn Prop' 'Attempt To Burn Structure'],['Misdemeanor' 'Converted Degree'],10M,
888,CR.3.805.(b)(2),['ELEC MAIL-HARASS-MINOR'],[nan 'Misdemeanor'],10M,
928,27.555C,['ELEC MAIL HARASS'],['Misdemeanor'],10M,
946,CCL005,['Conspiracy-Murder 1st Degree(CCL005)'],['Misdemeanor'],10M,
1006,CR.7.308.(d)(2),"['RECORDING:SELL, ETC.'
 'Recorded Article/Device: Unauthorized Sell/Rent/Distribute']",[nan 'Misdemeanor'],10M,
1058,CL070,['Conspiracy to Commit Third Degree Burglary(CL070)'],['Misdemeanor'],10M,
1062,CR.5.902.(a)(1),['CDS REGIS. REMOV/ALTR LABL'],['Misdemeanor' nan],10M,
1095,27.287..(a),['Cds: Possession-Marihuana' 'Cds:Possess-Not Marihuana'],['Misdemeanor'],10M,
603,CR.9.201.(b),['Bribe/Attempt To Bribe Public Employee' 'BRIBE/ATT PUBLIC EMPLOYEE'],['Misdemeanor'],10M,
1125,TG.13.1024,['Conspiracy/Willful Fail File Income Tax'],['Misdemeanor'],10M,
6,CR.8.601.(a),"['FORGERY-PRIV DOCUMENTS' 'Forgery And Counterfeit-Private Documents'
 'Scheme/Forgery And Counterfeit-Private Documents']",[nan 'Felony District Court' 'Felony Circuit Court'],5F,
10,CR.8.214,"['USE/DISCLOSE SIGNATURE' 'USE/DISCLOSE CREDIT CARD NOS'
 'Use/Disclose Credit Card Numbers' 'Use/Disclose Signature'
 'Unauthorized Use or Disclosure']",['Felony District Court' nan 'Felony Circuit Court'],5F,
20,CR.8.602,"['UTTERING FALSE DOCUMENT' 'ISSUE FALSE DOCUMENT' 'Issue False Document'
 'Uttering False Document' 'Issue False Document (Violation of Probation)'
 'Uttering - Private Document' 'Issue - Private Document']",[nan 'Felony District Court' 'Felony Circuit Court'],5F,
32,27.44.(a),"['FORGERY-PRIV DOCUMENTS' 'Forgery-Private Documents'
 'Forgery And Counterfeit-Private Documents' 'Forgery --Private Documents'
 'Forgery-Priv Documents']",['Felony District Court' 'Felony Circuit Court'],5F,
39,27.44.(b),['UTTERING FALSE DOCUMENT' 'Uttering False Document'],['Felony District Court' 'Felony Circuit Court'],5F,
58,CR.8.609.(b)(2),['UTTERING' 'ISSUE COUNTERFEIT ORDER' 'Uttering' 'Issue Counterfeit Order'],[nan 'Felony District Court' 'Felony Circuit Court'],5F,
61,CR.8.609.(b)(1),"['FORG-ORDER FOR MONEY,GOODS'
 'Alter/Forge/Counterfeit-Order For Money/Goods Etc.']",[nan 'Felony District Court' 'Felony Circuit Court'],5F,
74,CR.5.621.(b)(1),"['FIREARM/DRUG TRAF CRIME' 'Firearm/Drug Trafficking Crime'
 'FIREARM/DRUG TRAFFICKING CRIME; CJIS#: 10493']",[nan 'Felony Circuit Court'],5F,
106,CR.6.202.(b),['HOME INVASION' 'Home Invasion'],['Felony Circuit Court'],5F,
113,CR.8.609.(b)(3),"['OBTAIN GOODS, MONEY-FORGERY' 'Obtain Goods, Money-Forgery']",[nan 'Felony Circuit Court' 'Felony District Court'],5F,
141,27.342A,['MOTOR VEH/UNLAWFUL TAKING' 'Motor Vehicle/Unlawful Taking' 'CAR THEFT'],['Felony District Court' 'Felony Circuit Court'],5F,
151,CR.5.603,"['Manufacture Cds' 'MANUFACTURE CDS' 'CDS:PRODUCTION EQUIPMENT-GENER'
 'Narc:Production Equipment' 'CDS:PRODUCTION EQUIPMENT'
 'Cds:Production Equipment' 'NARC:PRODUCTION EQUIP'
 'Manufacture CDS - Narcotic' 'MANUFACTURE CDS - NARCOTIC'
 'CDS: Production Equipment (Methamphetamine)' 'NARC: PRODUCTION EQUIP'
 'Cds:Production Equipment-General' 'CDS:PRODUCTION EQUIPMENT-GENERAL'
 'Manufacture Cds (Marijuana)' 'Production Equipment']",['Felony Circuit Court' nan],5F,
155,27 -44 -A - -,['FORGERY-PRIVATE DOCUMENTS'],['Felony District Court'],5F,
